source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,6850000,47,2,0,0,0,0,2,dobre,vybavene,osobni,Praha 10,50.066044,14.482316
sreality,4490000,42,2,1,0,0,0,1,velmi dobre,vybavene,osobni,Plzeň,49.747375,13.366803
sreality,6130000,74,2,0,1,1,0,3,velmi dobre,vybavene,osobni,Pardubice,50.041843,15.806253
sreality,12500000,87,2,0,0,1,0,2,novostavba,vybavene,osobni,Praha 5,50.02964,14.368599
sreality,11500000,42,2,1,1,0,0,4,dobre,vybavene,osobni,Praha,50.088406,14.422324
sreality,5110000,51,1,1,1,1,1,4,novostavba,vybavene,osobni,Kladno,50.161457,14.135164
sreality,18600000,116,4,1,1,1,1,9,velmi dobre,vybavene,osobni,Praha 4,50.017334,14.435376
sreality,9762350,65,2,1,0,0,0,2,novostavba,vybavene,osobni,Praha,50.120098,14.4767
sreality,10293535,70,2,1,1,0,1,2,novostavba,vybavene,osobni,Praha,50.120098,14.4767
sreality,3700000,62,2,1,0,0,1,2,velmi dobre,vybavene,osobni,Trutnov,50.601398,15.696944
sreality,16900000,81,2,0,1,0,0,1,velmi dobre,vybavene,osobni,Praha 5,50.076973,14.408154
sreality,3825000,62,3,0,1,1,1,6,dobre,vybavene,osobni,Ostrava,49.827213,18.269577
sreality,8990000,97,4,1,0,1,0,5,velmi dobre,vybavene,osobni,Praha 9,50.070702,14.677487
sreality,19990000,145,4,1,1,1,1,3,novostavba,vybavene,osobni,Praha 5,50.028625,14.375762
sreality,4299000,72,3,1,0,0,0,1,velmi dobre,vybavene,osobni,Karlovy Vary,50.22493,12.880402
sreality,5190000,56,2,0,0,0,0,3,velmi dobre,vybavene,osobni,Zlín,49.226051,17.698565
sreality,6850000,55,2,1,0,0,0,3,dobre,vybavene,osobni,Praha 8,50.133236,14.416073
sreality,4200000,79,4,0,0,0,0,5,dobre,vybavene,osobni,Karlovy Vary,50.226337,12.882504
sreality,5990000,26,1,1,1,1,0,10,velmi dobre,vybavene,osobni,Praha 10,50.077747,14.486946
sreality,10350000,51,2,1,1,1,1,6,novostavba,vybavene,osobni,Praha 4,50.016243,14.404919
sreality,8690000,76,3,0,1,1,0,3,dobre,vybavene,osobni,Praha 4,50.011086,14.452418
sreality,6490000,77,3,1,0,0,0,1,velmi dobre,vybavene,osobni,Pardubice,50.025677,15.774754
sreality,27000000,128,4,1,1,1,0,5,velmi dobre,vybavene,osobni,Praha 2,50.076527,14.415887
sreality,14367000,102,3,1,1,1,1,3,velmi dobre,vybavene,osobni,Praha 9,50.141014,14.517697
sreality,11890000,111,4,1,0,1,1,1,novostavba,vybavene,osobni,Praha,49.929131,14.59017
sreality,17400000,97,3,1,1,1,1,1,novostavba,vybavene,osobni,Praha 3,50.084606,14.482682
sreality,13500000,77,3,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.117081,14.448081
sreality,9250000,48,2,1,1,1,0,1,novostavba,vybavene,osobni,Praha 5,50.061825,14.403939
sreality,10890000,59,2,1,0,0,0,4,velmi dobre,vybavene,osobni,Praha 6,50.083973,14.376201
sreality,14990000,76,3,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.031517,14.364944
sreality,5990000,50,1,1,1,1,0,2,velmi dobre,vybavene,osobni,Český Krumlov,48.639324,14.229321
sreality,4187000,67,3,0,1,0,0,5,velmi dobre,vybavene,osobni,Český Krumlov,48.823158,14.326908
sreality,4599000,54,3,0,1,1,0,5,velmi dobre,vybavene,osobni,Ostrava,49.828323,18.276958
sreality,6500000,73,3,0,1,1,0,8,velmi dobre,vybavene,osobni,Olomouc,49.579041,17.238422
sreality,7400000,36,1,1,1,0,0,4,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135
sreality,8500000,44,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135
sreality,12300000,56,2,1,1,1,0,6,novostavba,vybavene,osobni,Praha 5,50.072918,14.394127
sreality,8250000,35,2,1,1,0,0,3,novostavba,vybavene,osobni,Praha 5,50.072918,14.394127
sreality,7150000,41,1,1,1,0,0,7,novostavba,vybavene,osobni,Praha 5,50.072918,14.394127
sreality,5320000,62,3,1,0,0,0,2,velmi dobre,vybavene,osobni,Ostrava,49.808205,18.238432
sreality,6990000,121,3,0,0,0,1,1,velmi dobre,vybavene,osobni,Trutnov,50.560253,15.918149
sreality,6390000,98,4,0,1,1,0,6,dobre,vybavene,osobni,Liberec,50.751888,15.067422
sreality,9970000,84,3,0,1,1,0,2,velmi dobre,vybavene,osobni,Olomouc,49.582489,17.230043
sreality,6240000,51,2,1,0,0,0,5,dobre,vybavene,osobni,Olomouc,49.593369,17.252079
sreality,7150000,44,2,1,1,1,0,2,velmi dobre,vybavene,osobni,Praha 5,50.070663,14.380732
sreality,6790000,74,3,1,0,1,0,4,velmi dobre,vybavene,osobni,Olomouc,49.597218,17.270826
sreality,6190000,72,3,0,0,0,0,1,dobre,vybavene,osobni,České Budějovice,48.988647,14.467381
sreality,9990000,57,2,1,1,0,0,5,novostavba,vybavene,osobni,Praha 5,50.06633,14.399523
sreality,5200000,61,3,1,0,0,0,3,velmi dobre,vybavene,osobni,Pardubice,50.021473,15.759109
sreality,12950000,119,3,1,1,1,1,4,dobre,vybavene,osobni,Olomouc,49.597843,17.234737
sreality,10927000,159,3,1,1,1,1,4,novostavba,vybavene,osobni,Kladno,50.161457,14.135164
sreality,17800000,116,4,1,1,1,1,9,velmi dobre,vybavene,osobni,Praha 4,50.017334,14.435376
sreality,6300000,70,3,0,1,1,0,6,velmi dobre,vybavene,osobni,Olomouc,49.605694,17.256844
sreality,4300000,79,3,1,0,0,1,3,velmi dobre,vybavene,osobni,Ostrava,49.822758,18.309431
sreality,11660000,77,3,0,1,1,1,2,novostavba,vybavene,osobni,Praha 5,50.028625,14.375762
sreality,4780000,50,2,0,0,1,1,2,velmi dobre,vybavene,osobni,Brno,49.113922,16.721561
sreality,3650000,35,1,0,0,0,0,1,velmi dobre,vybavene,osobni,Ostrava,49.785915,18.226677
sreality,10792980,74,2,1,0,0,0,3,novostavba,vybavene,osobni,Praha 9,50.124981,14.484177
sreality,3170000,33,1,1,1,0,0,7,velmi dobre,vybavene,osobni,Ostrava,49.806004,18.242025
sreality,7400000,70,1,1,0,1,0,1,novostavba,vybavene,osobni,Praha 9,50.081749,14.557925
sreality,6100000,29,1,1,0,0,1,1,velmi dobre,vybavene,osobni,Praha 5,50.071102,14.343461
sreality,8990000,56,2,0,0,0,0,2,velmi dobre,vybavene,osobni,Praha 5,50.071102,14.343461
sreality,6850000,45,2,1,0,1,0,2,velmi dobre,vybavene,osobni,Brno,49.212601,16.605095
sreality,7850000,50,2,1,0,0,0,1,velmi dobre,vybavene,osobni,Praha 9,50.100475,14.542393
sreality,11700000,76,2,0,0,1,0,2,dobre,vybavene,osobni,Praha 6,50.099625,14.399954
sreality,8900000,68,2,1,1,0,0,17,velmi dobre,vybavene,osobni,Praha 4,50.02972,14.449989
sreality,7390000,54,3,1,1,0,0,2,velmi dobre,vybavene,osobni,Praha 4,50.04594,14.490003
sreality,4987000,37,1,0,1,1,1,4,velmi dobre,vybavene,osobni,Brno,49.229523,16.621679
sreality,13990000,89,3,1,1,1,1,6,velmi dobre,vybavene,osobni,Praha 5,50.056305,14.282117
sreality,9990000,69,3,1,0,0,0,1,velmi dobre,vybavene,osobni,Praha 10,50.054108,14.530043
sreality,7800000,46,2,0,1,1,0,6,dobre,vybavene,osobni,Praha 10,50.066261,14.459818
sreality,7150000,78,3,1,1,1,0,5,velmi dobre,vybavene,osobni,Pardubice,50.042324,15.813307
sreality,3990000,65,3,0,0,0,0,1,dobre,vybavene,osobni,Karlovy Vary,50.247692,12.831019
sreality,14600000,106,3,1,1,0,0,5,velmi dobre,vybavene,osobni,Praha 2,50.075424,14.426456
sreality,7530000,27,1,1,1,0,0,1,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,14799000,159,4,1,1,1,1,14,velmi dobre,vybavene,osobni,Brno,49.223621,16.626226
sreality,8200000,63,2,1,0,0,1,3,velmi dobre,vybavene,osobni,Praha,49.968777,14.394235
