source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,9100000,72,3,0,1,1,0,8,velmi dobre,vybavene,osobni,Praha 4,50.036919,14.520226,0.21996101535842238,0.8387262926206519,0.03997992195482004,0.49313212413349705,0.34422113394284065,0.5434918385964234
sreality,9900000,61,2,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195,0.10925937860866544,0.7435264796324849,0.2726405971050638,0.18796059321786157,0.2284466992097837,1.4902152257638386
sreality,12150000,71,2,1,1,1,1,5,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195,0.10925937860866544,0.7435264796324849,0.2726405971050638,0.18796059321786157,0.2284466992097837,1.4902152257638386
sreality,13100000,81,3,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.103756,14.515195,0.10925937860866544,0.7435264796324849,0.2726405971050638,0.18796059321786157,0.2284466992097837,1.4902152257638386
sreality,8100000,62,3,1,0,0,0,1,novostavba,vybavene,osobni,Praha,49.99395,14.602228,0.06973753198629666,4.4092596677226155,2.6113020840483303,0.4638951422663783,0.5989686880873467,0.6158203527160684
sreality,14990000,94,4,1,1,1,0,3,novostavba,vybavene,osobni,Praha 5,50.058033,14.279776,0.34306200360203726,0.9720593308044853,0.33774088529056917,0.9352880779884237,0.20758545349630375,3.029502511760329
sreality,6990000,36,1,1,1,0,0,2,novostavba,vybavene,osobni,Praha 9,50.104679,14.488541,0.13036655505190384,0.26963347216621,0.23340118957466255,0.37936461922509523,0.09749976524995167,0.6072905497979085
sreality,20490000,139,3,0,1,0,0,3,dobre,vybavene,osobni,Praha 5,50.080032,14.405857,0.1024724837995948,0.9956227370442684,0.06389442355311613,0.5674344583613873,0.0749417060045087,0.7128340016068766
sreality,7990000,51,2,1,1,0,0,5,dobre,vybavene,osobni,Praha 6,50.086277,14.374228,0.1216312524268565,1.5702845126233058,0.08317870168478025,0.19748827511714875,0.1891907345522761,0.23521856012351916
sreality,23780000,109,3,1,0,0,0,2,velmi dobre,vybavene,osobni,Praha 1,50.087421,14.406035,0.1091144687620787,0.5128456613253555,0.06803563130387862,0.34496598220193403,0.02738936891125298,0.7157279353977326
sreality,9140096,79,3,1,1,1,1,10,novostavba,vybavene,osobni,Brno,49.173306,16.56781,0.05677512967289084,2.9089453937234113,0.3535957626943327,0.39242936305135145,0.473201207149543,0.7251950942496128
sreality,8186724,52,2,1,1,1,1,1,novostavba,vybavene,osobni,Brno,49.173306,16.56781,0.05677512967289084,2.9089453937234113,0.3535957626943327,0.39242936305135145,0.473201207149543,0.7251950942496128
sreality,8990000,70,3,0,0,1,0,3,velmi dobre,vybavene,osobni,Praha 9,50.112236,14.620522,0.1719203911707602,0.7549802833080861,0.2575587090279528,0.22023609009776868,0.20816615333898067,0.19186820950232136
sreality,10000000,81,3,1,1,1,1,1,novostavba,vybavene,osobni,Olomouc,49.569077,17.247663,0.15722835258249906,2.0098998467819107,0.7562024325999046,0.7753175678623929,0.6706331385297611,1.105135173341329
sreality,8800000,75,3,1,1,1,0,6,novostavba,vybavene,osobni,Olomouc,49.577675,17.240726,0.16518924765236784,1.0836229512596431,0.24935783766621547,0.3230306626367099,0.15371289329839777,0.20874578829774756
sreality,6100000,53,2,1,1,1,0,1,novostavba,vybavene,osobni,Olomouc,49.576866,17.244226,0.3332374413427126,1.1338723654970724,0.3288556460659728,0.18595410570985968,0.19755549387548565,0.20471150669464377
sreality,23409200,104,4,1,1,1,1,5,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532,0.10815544255236834,0.3542324288590359,0.515657797281328,0.2628460119020483,0.07763688568510314,0.79406077605637
