type,lat,lon
stop,50.0121586,14.4168364
stop,50.0122058,14.4171224
stop,51.0445384,13.6702465
stop,51.0432048,13.6799331
stop,51.0489232,13.659307
stop,50.0063528,14.4296571
stop,50.0045436,14.4191212
stop,50.0279074,14.8398664
stop,49.4367782,15.8217983
stop,50.0051958,14.432604
stop,50.0063782,14.4290754
stop,50.0055624,14.4231251
stop,50.0045885,14.4188104
stop,50.0022199,14.4097442
stop,50.0045333,14.4032875
stop,50.0090781,14.4030491
stop,50.0135277,14.4018578
stop,50.9269919,14.2228986
stop,50.9311331,14.2060846
stop,50.9071406,14.080976
stop,49.9240286,14.4211491
stop,50.7289547,12.7702807
stop,49.8201829,13.8646683
stop,49.8867792,14.8573717
stop,50.056286,14.5430891
stop,50.0568463,14.5485605
stop,49.014674,14.7555568
stop,50.6293648,12.7388969
stop,51.0583794,13.7400445
stop,50.078447,14.3889547
stop,51.0585794,13.7282131
stop,51.05578,13.7244275
stop,51.0339235,13.7221922
stop,50.0303547,14.4548285
stop,50.0282737,14.4568231
stop,50.820477,13.0821423
stop,50.0230638,14.4037035
stop,50.0341344,14.407481
stop,50.0425753,14.4733538
stop,50.9817734,13.7330649
stop,51.00763,13.3684188
stop,50.1496455,14.4488962
stop,50.072105,14.5004461
stop,50.0947413,14.4742522
stop,49.9632897,14.455912
stop,49.9637162,14.4588773
stop,50.0066502,14.4293215
stop,50.1428017,14.6338013
stop,50.0632744,14.4046645
stop,50.1077497,14.3537243
stop,50.0395283,14.6850941
stop,50.1059991,14.6805443
stop,50.0591614,14.5165889
stop,50.9446587,12.5130534
stop,50.9475406,12.4039402
stop,50.9370013,12.3957631
stop,50.9038416,12.3593298
stop,50.9021838,12.3541392
stop,50.7048244,13.1045684
stop,50.4144298,14.4605525
stop,49.4402824,12.4156931
stop,51.0158434,13.6993917
stop,49.2085707,12.6955006
stop,49.0339076,12.1134842
stop,50.038152,14.6378788
stop,50.0136327,14.6819531
stop,49.0906612,18.5108136
stop,50.653884,12.5685277
stop,50.103939,14.4748104
stop,50.4774327,13.4198763
stop,50.8965384,12.3485083
stop,50.9350035,13.6883962
