source,name,price_czk,area_m2,flat_type,locality,lat,lon,has_lift,has_balcony,has_parking,floor,condition,furnished
idnes,Prodej bytu 3+1 87 m²,4300000,87,3+1,"Holečkova, Karlovy Vary - Stará Role",50.2397751,12.8424428,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 5+kk 215 m²,16300000,215,5+kk,"Chopinova, Mariánské Lázně, okres Cheb",49.9900547,12.6995046,1,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 60 m²,5425000,60,2+kk,"náměstí Sv. Vavřince, Horní Blatná, okres Karlovy Vary",50.3898842,12.7709245,0,0,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 40 m²,6350000,40,2+kk,"Harrachov, okres Jablonec nad Nisou",50.77760896015432,15.414170783024309,0,0,1,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 3+kk 90 m²,6700000,90,3+kk,"Chopinova, Mariánské Lázně, okres Cheb",49.9900547,12.6995046,1,1,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+kk 87 m²,7200000,87,3+kk,"Chopinova, Mariánské Lázně, okres Cheb",49.9900547,12.6995046,1,0,0,1,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 4+kk 108 m²,22300000,108,4+kk,"Letenská, Praha 1 - Malá Strana",50.0890513,14.4069814,1,0,0,2,po rekonstrukci,
idnes,Prodej bytu 3+1 70 m²,7490000,70,3+1,"José Martího, Praha 6 - Veleslavín",50.093927,14.340194,1,1,0,4,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 2+kk 73 m²,9900000,73,2+kk,"Hanusova, Praha 4 - Michle",50.0492472,14.4484564,0,0,0,1,po rekonstrukci,nevybaveny
idnes,Prodej bytu 5+kk 113 m²,9990000,113,5+kk,"U Cihelny, Lysá nad Labem, okres Nymburk",50.2028551562,14.8284293594,0,0,0,1,velmi dobrý stav,
idnes,Prodej bytu 1+kk 44 m²,5232919,44,1+kk,"Stodolní, Ostrava - Moravská Ostrava",49.8350219712,18.2822264783,1,1,0,1,projekt,
idnes,Prodej bytu 5+kk 135 m²,24700000,135,5+kk,"Pec pod Sněžkou, okres Trutnov",50.6927604,15.7302546,0,1,1,1,novostavba,castecne vybaveny
idnes,Prodej bytu 6+kk 418 m²,,418,6+kk,"Eškova, Jince, okres Příbram",49.7918917,13.9783951,0,0,1,2,před rekonstrukcí,
idnes,Prodej bytu 3+1 68 m²,6990000,68,3+1,"Na růžovém poli, Kladno - Kročehlavy",50.1301688889,14.1283933333,0,0,0,5,velmi dobrý stav,
idnes,Prodej bytu 3+1 68 m²,5190000,68,3+1,"Masarykova, Kolín - Kolín II",50.022149,15.18927,1,1,0,2,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 70 m²,,70,3+1,"Břustkova, Ostrava - Výškovice",49.78306,18.22087,0,1,0,2,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+1 62 m²,11700000,62,2+1,"Mydlářka, Praha 6 - Dejvice",50.10041403,14.38377574,0,1,0,4,velmi dobrý stav,nevybaveny
idnes,Prodej bytu 3+1 82 m²,5990000,82,3+1,"Rokycanská, Plzeň - Lobzy",49.748218,13.41296,0,0,0,1,velmi dobrý stav,castecne vybaveny
idnes,Prodej bytu 2+kk 57 m²,8250000,57,2+kk,"Čerpadlová, Praha 9 - Vysočany",50.101015168559,14.507020522089,1,1,1,3,novostavba,castecne vybaveny
idnes,Prodej bytu 3+kk 77 m²,13550000,77,3+kk,"Olgy Havlové, Praha 3 - Žižkov",50.088393972714,14.479272675073,1,1,1,1,novostavba,castecne vybaveny
idnes,Prodej bytu 3+1 80 m²,15540000,80,3+1,"Nurmiho, Praha 10 - Hostivař",50.045062281474,14.523726421548,1,1,1,1,novostavba,castecne vybaveny
idnes,Prodej bytu 3+kk 117 m²,12035925,117,3+kk,"Mijas Costa, Španělsko",,,0,1,0,2,novostavba,
idnes,Prodej bytu 4+kk 136 m²,13008525,136,4+kk,"Marbella, Španělsko",,,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 68 m²,11968451,68,3+kk,"Fuengirola, Španělsko",,,0,0,0,2,velmi dobrý stav,
idnes,Prodej bytu 4+kk 90 m²,12400650,90,4+kk,"Benalmadena Costa, Španělsko",,,0,1,0,2,velmi dobrý stav,
idnes,Prodej bytu 3+kk 88 m²,12400650,88,3+kk,"Fuengirola, Španělsko",,,0,1,0,2,novostavba,
idnes,Prodej bytu 3+kk 117 m²,12400650,117,3+kk,"New Golden Mile, Španělsko",,,0,1,0,2,velmi dobrý stav,
